insert				delete		
load factor (a)	actual probes	expected probes		load factor (a)	actual probes	expected probes
0.01	2	1.01		0.97	30.27070064	1.97
0.02	2.04	1.02		0.98	32.06678383	1.98
0.03	2.04	1.03		0.99	50.06346048	1.99
0.04	2.12	1.04		1	101	2
0.05	2.14	1.05				
0.06	2.14	1.06				
0.07	2.2	1.07				
0.08	2.24	1.08				
0.09	2.1	1.09				
0.1	2.2	1.1				
0.11	2.2	1.11				
0.12	2.3	1.12				
0.13	2.2	1.13				
0.14	2.32	1.14				
0.15	2.34	1.15				
0.16	2.24	1.16				
0.17	2.28	1.17				
0.18	2.52	1.18				
0.19	2.42	1.19				
0.2	2.48	1.2				
0.21	2.48	1.21				
0.22	2.44	1.22				
0.23	2.76	1.23				
0.24	2.6	1.24				
0.25	2.46	1.25				
0.26	2.46	1.26				
0.27	2.5	1.27				
0.28	2.7	1.28				
0.29	2.96	1.29				
0.3	2.8	1.3				
0.31	3	1.31				
0.32	3.14	1.32				
0.33	3.26	1.33				
0.34	3.28	1.34				
0.35	3.16	1.35				
0.36	3.38	1.36				
0.37	3.1	1.37				
0.38	3.46	1.38				
0.39	3.68	1.39				
0.4	3.24	1.4				
0.41	3.56	1.41				
0.42	3.44	1.42				
0.43	3.68	1.43				
0.44	3.94	1.44				
0.45	4.2	1.45				
0.46	3.76	1.46				
0.47	4.56	1.47				
0.48	4.4	1.48				
0.49	5.06	1.49				
0.5	4.34	1.5				
0.51	4.22	1.51				
0.52	5.56	1.52				
0.53	4.9	1.53				
0.54	5.22	1.54				
0.55	5.28	1.55				
0.56	5.14	1.56				
0.57	5.34	1.57				
0.58	5.52	1.58				
0.59	6.76	1.59				
0.6	7.48	1.6				
0.61	6.3	1.61				
0.62	6.36	1.62				
0.63	6.26	1.63				
0.64	9.58	1.64				
0.65	7.92	1.65				
0.66	7.36	1.66				
0.67	9	1.67				
0.68	9.06	1.68				
0.69	8.16	1.69				
0.7	10.88	1.7				
0.71	10.38	1.71				
0.72	9.56	1.72				
0.73	12.3	1.73				
0.74	13.12	1.74				
0.75	12.24	1.75				
0.76	13	1.76				
0.77	15.84	1.77				
0.78	16.48	1.78				
0.79	16.02	1.79				
0.8	15.52	1.8				
0.81	15.06	1.81				
0.82	17.66	1.82				
0.83	18.16	1.83				
0.84	23.8	1.84				
0.85	23.32	1.85				
0.86	24.64	1.86				
0.87	27.02	1.87				
0.88	30.4	1.88				
0.89	26.68	1.89				
0.9	38.64	1.9				
0.91	39.5	1.91				
0.92	40.7	1.92				
0.93	47.9	1.93				
0.94	47.82	1.94				
0.95	64.08	1.95				
0.96	59.08	1.96				
0.97	70.64	1.97				
0.98	73.08	1.98				
0.99	80.12	1.99				
1	94.52	2				
