insert				delete		
load factor (a)	actual probes	expected probes		load factor (a)	actual probes	expected probes
0.01	0	1.01		19.85	19.46958637	20.85
0.02	0.0105	1.02		19.86	19.5751634	20.86
0.03	0.0225	1.03		19.87	19.82055811	20.87
0.04	0.0285	1.04		19.88	19.85089761	20.88
0.05	0.0365	1.05		19.89	19.81663816	20.89
0.06	0.0475	1.06		19.9	19.92709038	20.9
0.07	0.066	1.07		19.91	19.87328246	20.91
0.08	0.0605	1.08		19.92	19.87486196	20.92
0.09	0.0735	1.09		19.93	19.89109791	20.93
0.1	0.0915	1.1		19.94	19.91274567	20.94
0.11	0.092	1.11		19.95	19.92190623	20.95
0.12	0.104447776	1.12		19.96	19.93973797	20.96
0.13	0.125	1.13		19.97	19.94436051	20.97
0.14	0.1275	1.14		19.98	19.95793402	20.98
0.15	0.1515	1.15		19.99	19.98998146	20.99
0.16	0.145	1.16		20	20.00771755	21
0.17	0.162	1.17				
0.18	0.1625	1.18				
0.19	0.182	1.19				
0.2	0.194	1.2				
0.21	0.204	1.21				
0.22	0.2075	1.22				
0.23	0.2405	1.23				
0.24	0.229	1.24				
0.25	0.234	1.25				
0.26	0.2335	1.26				
0.27	0.2485	1.27				
0.28	0.2705	1.28				
0.29	0.2795	1.29				
0.3	0.277	1.3				
0.31	0.296	1.31				
0.32	0.3055	1.32				
0.33	0.3065	1.33				
0.34	0.369	1.34				
0.35	0.34	1.35				
0.36	0.3445	1.36				
0.37	0.3865	1.37				
0.38	0.366816592	1.38				
0.39	0.383	1.39				
0.4	0.377	1.4				
0.41	0.3805	1.41				
0.42	0.4345	1.42				
0.43	0.426	1.43				
0.44	0.433783108	1.44				
0.45	0.433	1.45				
0.46	0.456	1.46				
0.47	0.4335	1.47				
0.48	0.469	1.48				
0.49	0.4815	1.49				
0.5	0.545	1.5				
0.51	0.4745	1.51				
0.52	0.5465	1.52				
0.53	0.5205	1.53				
0.54	0.523	1.54				
0.55	0.538	1.55				
0.56	0.547726137	1.56				
0.57	0.5515	1.57				
0.58	0.5755	1.58				
0.59	0.576711644	1.59				
0.6	0.591	1.6				
0.61	0.627	1.61				
0.62	0.596701649	1.62				
0.63	0.6405	1.63				
0.64	0.623	1.64				
0.65	0.6625	1.65				
0.66	0.639	1.66				
0.67	0.629	1.67				
0.68	0.6755	1.68				
0.69	0.6835	1.69				
0.7	0.6985	1.7				
0.71	0.6685	1.71				
0.72	0.725	1.72				
0.73	0.7085	1.73				
0.74	0.707146427	1.74				
0.75	0.7475	1.75				
0.76	0.7875	1.76				
0.77	0.748	1.77				
0.78	0.785	1.78				
0.79	0.7815	1.79				
0.8	0.768615692	1.8				
0.81	0.7835	1.81				
0.82	0.818090955	1.82				
0.83	0.824	1.83				
0.84	0.8155	1.84				
0.85	0.820089955	1.85				
0.86	0.886556722	1.86				
0.87	0.8665	1.87				
0.88	0.8855	1.88				
0.89	0.892553723	1.89				
0.9	0.941	1.9				
0.91	0.928	1.91				
0.92	0.923	1.92				
0.93	0.926	1.93				
0.94	0.9195	1.94				
0.95	0.9015	1.95				
0.96	0.927	1.96				
0.97	0.97	1.97				
0.98	1.005997001	1.98				
0.99	0.9785	1.99				
1	0.9985	2				
1.01	1.019	2.01				
1.02	1.0055	2.02				
1.03	1.041	2.03				
1.04	1.033	2.04				
1.05	1.0985	2.05				
1.06	1.028	2.06				
1.07	1.0375	2.07				
1.08	1.0985	2.08				
1.09	1.045	2.09				
1.1	1.111944028	2.1				
1.11	1.121	2.11				
1.12	1.085	2.12				
1.13	1.106	2.13				
1.14	1.1355	2.14				
1.15	1.143356643	2.15				
1.16	1.144	2.16				
1.17	1.18	2.17				
